"IdOffer","title","name","location","level","req","contract","link"
"9781","IT Project Manager SAP","ORH Assessment","AM Procurement","Bac +5 et plus - Formation spécialisée","sap","CDI","/offre-emploi-it-project-manager-sap---am-procurement-recrutement-orh-assessment-kenitra-130440.html"
"9778","Data Owner","Maroc Climate and Security (MCS) - Carrier","Casablanca","Bac +5 et plus","agile","CDI","/offre-emploi-data-owner-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-130459.html"
"9777","Cloud Builder H/F","McDonald's Maroc","Casablanca","Bac +5 et plus - Ecole d'ingénieur","python , postgresql , aws , kubernetes , jenkins , bash","CDI","/offre-emploi-cloud-builder-hf-recrutement-mcdonalds-maroc-casablanca-129673.html"
"9775","Front End Developer H/F","McDonald's Maroc","Casablanca","Bac +5 et plus - Ecole d'ingénieur","angular , javascript , js , git , react , nodejs , flutter , scrum","CDI","/offre-emploi-front-end-developer-hf-recrutement-mcdonalds-maroc-casablanca-129689.html"
"9776","Global Technology Specialist H/F","McDonald's Maroc","Casablanca","Bac +5 et plus - Ecole d'ingénieur","sql , java , javascript , php , python , docker , aws , azure , kubernetes , jira","CDI","/offre-emploi-global-technology-specialist-hf-recrutement-mcdonalds-maroc-casablanca-129605.html"
"9773","Ingénieur Etudes Développement Java JEE Angular (H/F)",,"France","Bac +5 et plus","sql , java , jee , hibernate , angular , vuejs , react , maven , spring , uml","CDI","/offre-emploi-ingenieur-etudes-developpement-java-jee-angular-hf---france-recrutement-confidentiel-lyon-130463.html"
"9774","Ingénieur Etudes Développement .Net Angular (H/F)",,"France","Bac +5 et plus","sql , angular , html , css , oracle , jquery , boostrap , vuejs , react","CDI","/offre-emploi-ingenieur-etudes-developpement-.net-angular-hf---france-recrutement-confidentiel-lyon-130462.html"
"9761","Ingénieur systèmes et réseaux",,"Casablanca","Bac +5 et plus - Ecole d'ingénieur","sql , oracle , sap , sql server","CDI","/offre-emploi-ingenieur-systemes-et-reseaux-recrutement-confidentiel-casablanca-130585.html"
"9765","Consultant Test Fonctionnel","Capgemini","Rabat","Bac +5 et plus","jira , agile","CDI","/offre-emploi-consultant-test-fonctionnel-recrutement-capgemini-rabat-130526.html"
"9766","Analyste (Kotlin android mobile) (H/F)","CGI Technologies et Solutions Maroc","Casablanca","Bac +5 et plus","sql , kotlin","CDI","/offre-emploi-analyste-kotlin-android-mobile-hf-recrutement-cgi-technologies-et-solutions-maroc-casablanca-130525.html"
"9767","Analyste (Xamarin android mobile) (H/F)","CGI Technologies et Solutions Maroc","Casablanca","Bac +5 et plus","sql , xamarin","CDI","/offre-emploi-analyste-xamarin-android-mobile-hf-recrutement-cgi-technologies-et-solutions-maroc-casablanca-130523.html"
"9768","Site Reliability Engineer","CGI Technologies et Solutions Maroc","Rabat","Bac +5 et plus","java , oracle , python , git , docker , kafka , azure , kubernetes , unix , linux , bash","CDI","/offre-emploi-site-reliability-engineer-recrutement-cgi-technologies-et-solutions-maroc-rabat-130500.html"
"9769","Data Analyst H/F","McDonald's Maroc","Casablanca","Bac +5 et plus - Ecole d'ingénieur","sql , java , python , plsql , aws , hadoop , spark","CDI","/offre-emploi-data-analyst-hf-recrutement-mcdonalds-maroc-casablanca-129606.html"
"9771","Ingénieurs DevOps (H/F)",,"France","Bac +5 et plus","java , maven , apache , tomcat , jenkins , linux","CDI","/offre-emploi-ingenieurs-devops-hf---france-recrutement-confidentiel-lyon-130465.html"
